"Id","Name","Code","ShortName","ShortNameLatin","Depots","IsCity","CityCode","IsSalePoint"
"140","РАЗ'ЕЗД 14","2700133","РЗД 14","RZD 14",NULL,False,"27",False
"141","САЙЛЫ","2700134","САЙЛЫ","SAILY",NULL,False,"27",False
"142","РАЗ'ЕЗД 15","2700135","РЗД 15","RZD 15",NULL,False,"27",False
"143","РАЗ'ЕЗД 16","2700136","РЗД 16","RZD 16",NULL,False,"27",False
"144","АБАЙ","2700137","АБАЙ","ABAI",NULL,False,"27",False
"145","РАЗ'ЕЗД 17","2700138","РЗД 17","RZD 17",NULL,False,"27",False
"146","РАЗ'ЕЗД 18","2700139","РЗД 18","RZD 18",NULL,False,"27",False
"147","КАРАШЕГЕН","2700140","КАРАШЕГЕН","KARASHEGEN",NULL,False,"27",False
"148","РАЗ'ЕЗД 19","2700141","РЗД 19","RZD 19",NULL,False,"27",False
"149","ОСТ.ПУНКТ 1676 КМ","2700142","ОП 1676 КМ","OP 1676 KM",NULL,False,"27",False
"150","ОСТ.ПУНКТ 1657 КМ","2700143","ОП 1657 КМ","OP 1657 KM",NULL,False,"27",False
"151","КАЛЬПЕ","2700784","КАЛЬПЕ","KALPE",NULL,False,"27",False
"152","ОСТ.ПУНКТ 1656 КМ","2700144","ОП 1656 КМ","OP 1656 KM",NULL,False,"27",False
"153","ОСТ.ПУНКТ 1654 КМ","2700145","ОП 1654 КМ","OP 1654 KM",NULL,False,"27",False
"154","ОСТ.ПУНКТ 1653 КМ","2700146","ОП 1653 КМ","OP 1653 KM",NULL,False,"27",False
"155","ОСТ.ПУНКТ 1630 КМ ПК 4","2700147","ОП1630КМ ПК4","OP1630KM PK4",NULL,False,"27",False
"156","ОСТ.ПУНКТ 1612 КМ","2700148","ОП 1612 КМ","OP 1612 KM",NULL,False,"27",False
"157","ОСТ.ПУНКТ 1581 КМ","2700149","ОП 1581 КМ","OP 1581 KM",NULL,False,"27",False
"158","ОСТ.ПУНКТ 158 КМ","2700150","ОП 158 КМ","OP 158 KM",NULL,False,"27",False
"159","ПОСЕЛОК КОКТУМА","2700151","ПОС КОКТУМА","POSELOK KOKT",NULL,False,"27",False
"1542","АСТАНА-1",NULL,NULL,NULL,NULL,False,NULL,False
"160","НУРЛЫ ЖОЛ","2700152","НУРЛЫ ЖОЛ","NURLY ZHOL",NULL,False,"27",False
"161","ПОСТ А","2700154","ПОСТ А","POST A",NULL,False,"27",False
"162","ЛЕВЫЙ ИРТЫШ","2700155","ЛЕВЫЙ ИРТЫШ","LEVYI IRTYSH",NULL,False,"27",False
